"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","add","remove","add-remove","",""
"2","616d94407f0e63a61e856056","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"3","616d94407f0e63a61e856056","test_ValenceMatch_Negative","0","ValenceMatchingOnly","spit","worry","spit-worry","ConcreteMismatch","NegativeMatch"
"4","616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract","0","MaxMatch","imagine","fulfill","imagine-fulfill","AbstractMatch","PositiveMatch"
"5","616d94407f0e63a61e856056","test_ConceptualMatch_Abstract","0","ConceptualMatchingOnly","worry","esteem","worry-esteem","ConceptualMatch:abstract","NegativeMismatch"
"6","616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete","0","MaxMatch","cook","running","cook-running","ConcreteMatch","PositiveMatch"
"7","616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract","0","MaxMatch","exploit","obsess","exploit-obsess","AbstractMatch","NegativeMatch"
"8","616d94407f0e63a61e856056","test_ValenceMatch_Positive","0","ValenceMatchingOnly","swing","justify","swing-justify","ConcreteMismatch","PositiveMatch"
"9","616d94407f0e63a61e856056","control_MaxMismatch","0","MaxMismatch","annoy","hope","annoy-hope","AbstractMismatch","NegativeMismatch"
"10","616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete","69","MaxMatch","puke","spit","puke-spit","ConcreteMatch","NegativeMatch"
"11","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","give","take","give-take","",""
"12","616d94407f0e63a61e856056","control_Similar","99","SimilarControl","show","display","show-display","",""
"13","616d94407f0e63a61e856056","test_ConceptualMatch_Concrete","0","ConceptualMatchingOnly","smile","kill","smile-kill","ConceptualMatch:concrete","PositiveMismatch"
"14","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","come","go","come-go","",""
"15","616d94407f0e63a61e856056","control_Similar","99","SimilarControl","need","require","need-require","",""
"16","616d94407f0e63a61e856056","test_ValenceMatch_Negative","0","ValenceMatchingOnly","puke","worry","puke-worry","ConcreteMismatch","NegativeMatch"
"17","616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract","0","MaxMatch","believe","esteem","believe-esteem","AbstractMatch","PositiveMatch"
"18","616d94407f0e63a61e856056","test_ConceptualMatch_Abstract","0","ConceptualMatchingOnly","loathe","hope","loathe-hope","ConceptualMatch:abstract","NegativeMismatch"
"19","616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete","0","MaxMatch","cook","sail","cook-sail","ConcreteMatch","PositiveMatch"
"20","616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract","0","MaxMatch","exploit","worry","exploit-worry","AbstractMatch","NegativeMatch"
"21","616d94407f0e63a61e856056","test_ValenceMatch_Positive","0","ValenceMatchingOnly","cook","enlighten","cook-enlighten","ConcreteMismatch","PositiveMatch"
"22","616d94407f0e63a61e856056","control_MaxMismatch","0","MaxMismatch","scorn","justify","scorn-justify","AbstractMismatch","NegativeMismatch"
"23","616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete","0","MaxMatch","puke","smack","puke-smack","ConcreteMatch","NegativeMatch"
"24","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","begin","end","begin-end","",""
"25","616d94407f0e63a61e856056","control_Similar","99","SimilarControl","get","obtain","get-obtain","",""
"26","616d94407f0e63a61e856056","test_ConceptualMatch_Concrete","0","ConceptualMatchingOnly","sail","vomit","sail-vomit","ConceptualMatch:concrete","PositiveMismatch"
"27","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","push","pull","push-pull","",""
"28","616d94407f0e63a61e856056","control_Similar","99","SimilarControl","begin","start","begin-start","",""
"29","616d94407f0e63a61e856056","test_ValenceMatch_Negative","0","ValenceMatchingOnly","smack","exploit","smack-exploit","ConcreteMismatch","NegativeMatch"
"30","616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract","0","MaxMatch","admired","believe","admired-believe","AbstractMatch","PositiveMatch"
"31","616d94407f0e63a61e856056","test_ConceptualMatch_Abstract","0","ConceptualMatchingOnly","obsess","justify","obsess-justify","ConceptualMatch:abstract","NegativeMismatch"
"32","616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete","0","MaxMatch","running","sail","running-sail","ConcreteMatch","PositiveMatch"
"33","616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract","0","MaxMatch","loathe","obsess","loathe-obsess","AbstractMatch","NegativeMatch"
"34","616d94407f0e63a61e856056","test_ValenceMatch_Positive","0","ValenceMatchingOnly","smile","imagine","smile-imagine","ConcreteMismatch","PositiveMatch"
"35","616d94407f0e63a61e856056","control_MaxMismatch","0","MaxMismatch","befall","imagine","befall-imagine","AbstractMismatch","NegativeMismatch"
"36","616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete","0","MaxMatch","puke","slap","puke-slap","ConcreteMatch","NegativeMatch"
"37","616d94407f0e63a61e856056","control_Dissimilar","0","DissimilarControl","enter","exit","enter-exit","",""
